,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
160,0.20174676,-0.13749781,0.28222013,0.26304606,-0.041135512,-0.097516455,-0.16093671,0.051574275,0.06254655,-0.06813565,-0.43411824,0.046851434,-0.30221742,-0.11256608,-0.20856312,0.058863625,0.10823883,-0.041931223,-0.033005025,-0.45826074,-0.17918551,-0.19155042,0.107027285,0.01128201,0.0249088,0.14605008,0.12609449,0.09859919,0.027656322,-0.030112652,-0.27918592,-0.11755547,-0.15930702,0.15489793,-0.07541664,-0.104180425,0.049844448,0.25687844,0.1454222,-0.14823614,-0.13443954,0.02933505,-0.018164743,0.04352633,0.119308494,-0.14409396,-0.115952656,-0.073138766,0.19076294,-0.15865746,-0.032208763,-0.1872376,0.26986617,-0.1807821,-0.031948917,0.28898838,-0.16647935,0.1393426,0.22078791,0.008119925,-0.16515617,0.03958867,-0.34936506,-0.12381882
121,0.17780598,0.0073476173,0.016157713,0.22259359,0.16352749,0.1474926,-0.0023065808,0.07676973,0.27627742,0.11677541,0.121627286,0.25235748,0.04801487,0.14462714,0.0070402957,0.049825545,0.16629417,-0.13954918,-0.0058223954,-0.5113657,-0.101503775,-0.084082976,0.27777785,0.20538777,0.068590626,0.20883572,-0.033740286,0.121872194,-0.076543935,0.031612623,0.33622456,-0.37818316,0.08708469,0.020855596,0.09571075,-0.058929972,-0.08674685,0.13644153,0.19572379,0.21166152,-0.31310526,0.14586519,-0.12606716,0.17044108,0.03366847,-0.30360124,-0.112829305,0.057891425,-0.019353816,-0.04759867,-0.24577707,-0.11136691,-0.19140078,0.06385951,-0.03635283,0.19032517,-0.17487973,-0.11888132,-0.0057220343,-0.01863627,-0.006141736,-0.14579484,-0.16914251,-0.01013665
82,0.294376,-0.08172084,0.10400833,0.32850504,-0.15161335,0.06698015,0.07885456,0.18689194,0.21882515,0.07697199,0.07012125,0.21739383,0.08944495,0.06383182,-0.1871882,0.103361994,0.08515868,-0.0644182,0.18756214,-0.5553868,-0.21272992,-0.22887671,0.120572835,0.1529847,0.10409845,0.25054124,0.021945253,0.13337931,-0.26238653,0.03915862,0.36128086,-0.2693992,0.036934257,0.17435169,0.07592479,-0.028825369,-0.15949003,0.15682535,0.13573906,0.0015178393,-0.14419138,0.21934846,-0.040343262,0.0549637,0.17453991,-0.17036808,-0.11391153,0.100436896,-0.08977061,0.10326912,-0.15164283,-0.228711,-0.14103904,-0.061616622,-0.059212033,0.19759881,-0.25374708,0.067925714,-0.06581993,-0.08795959,-0.13781567,0.25087303,-0.37602016,-0.030841243
107,0.13323438,-0.12663825,0.18365291,0.097392805,-0.10597948,0.048992865,-0.12864417,-0.046200275,-0.009411401,-0.056613024,-0.2794239,0.15995817,-0.0071463822,-0.2018692,-0.20164287,0.10878271,0.008152615,-0.29465663,0.08395923,-0.36653626,-0.0058585615,-0.19212835,0.08324193,0.08798062,0.42806408,0.06442912,0.059359897,0.11408593,0.0641181,-0.22815092,-0.11575101,-0.3284803,0.08890965,0.24074732,0.19311363,0.06498671,0.063912295,0.21125272,0.37217584,-0.066384375,-0.4887246,0.06915014,-0.040512048,0.33930153,0.22532806,-0.24529713,-0.033455726,0.048838455,-0.13082838,-0.14486331,0.07715134,-0.24833095,0.17764851,0.11686293,0.1429015,0.23350151,-0.18896382,0.095085286,-0.0057065315,-0.078903966,-0.04713767,0.070102036,-0.14538474,0.12517683
86,0.36676747,-0.3675203,-0.012535721,0.022755561,0.15367815,0.13791554,0.025768729,0.13045578,0.27465296,0.012002528,0.029496592,0.18858607,-0.081399016,0.07054695,-0.21946731,-0.45427632,0.041273404,-0.27902225,-0.2293463,-0.27128214,-0.26556677,-0.22582385,0.023566246,-0.08720599,0.19150299,-0.068469115,-0.050487574,0.04449969,-0.1658801,0.18094441,-0.3687959,-0.47001213,-0.29080188,0.17119743,-0.004582859,0.20011243,-0.2770777,0.032105368,-0.08864625,-0.26292494,-0.08629978,0.18814045,0.060444318,0.18444316,-0.0692144,-0.059649974,-0.20962381,-0.10806596,-0.23521489,0.08668809,-0.06332365,-0.4174726,-0.10272782,-0.095538445,0.019927435,0.06420225,-0.25244042,0.18170121,0.02642339,-0.19095539,0.08805893,0.0038155196,-0.3398869,-0.061743308
62,0.33961323,-0.16436717,0.18086824,0.112299815,-0.1789607,-0.07764926,-0.18568733,0.061591297,-0.032140262,0.19260117,-0.29187655,0.18601367,-0.18126468,-0.022988493,-0.24067816,0.026052233,0.14474048,-0.3311031,-0.12857038,-0.2961852,-0.08263137,-0.12401513,0.10821953,0.2322966,0.25002477,-0.123975106,0.12145586,0.0229715,-0.062478837,0.17588031,0.032171864,-0.5309561,-0.011844556,0.011978269,0.24067964,0.1272773,0.049113333,0.24139042,0.17040169,-0.08239885,-0.2096984,-0.0526644,0.053376615,0.32242876,0.16248274,-0.11170431,-0.051608156,-0.0757865,-0.0733566,0.032305144,-0.118906915,-0.12633091,0.0233352,0.0036311124,-0.06509691,0.2042858,-0.19296364,0.26848233,0.0003535811,-0.043167155,0.055248354,-0.061911512,-0.08599069,0.1922609
434,0.0029304791,0.11992843,0.056676883,-0.093986526,-0.06191094,0.023458937,-0.2629804,0.23516099,0.2394167,0.10226061,-0.40896356,0.14343047,-0.06118222,0.21526414,-0.059792608,-0.16576426,0.26420262,-0.044976927,-0.050115783,-0.22576089,-0.16896896,0.08417292,0.11915536,0.13526726,0.17160541,0.10847892,-0.12232658,0.08206907,0.019490646,-0.15485711,-0.06858988,-0.29257718,-0.05703475,0.030570855,0.02361966,0.2418938,0.0333627,-0.0083014015,0.002752418,0.056395203,-0.21246012,0.07872057,-0.14585546,0.09583567,0.009449838,-0.21638261,-0.1242083,0.096345365,0.10291435,0.0058300667,-0.3269775,-0.18220417,-0.10988221,0.004171123,-0.14461854,0.14124288,-0.14289165,-0.14000967,0.0088725425,0.44940093,0.18529193,-0.22440508,-0.17385292,0.09613806
13,-0.029893551,-0.3750903,0.19019479,-0.1357489,0.5757608,-0.08056858,0.23598348,0.0056206123,0.116154596,0.14471608,-0.3455303,0.39566585,-0.30754647,-0.3379452,-0.122353606,-0.22745745,-0.17383774,0.07808,0.005594655,-0.36290807,-0.025326949,-0.08781737,0.15905482,0.14746106,0.08919592,-0.09013156,0.25865012,0.00045912052,-0.20757829,-0.09857427,0.01933679,-0.36139235,-0.42762652,-0.04392955,0.09165624,-0.022198617,0.07740833,0.19790345,0.4211843,0.17378019,-0.16827634,0.038019475,-0.17454346,-0.17880812,-0.13598487,-0.3268676,-0.22266153,-0.1424985,-0.11628684,0.09378556,-0.21021155,-0.14137599,0.17243251,-0.14824937,-0.19220315,0.09167846,-0.1361306,-0.0010045466,-0.23067555,0.14018427,0.0051748604,0.11619614,-0.23339695,-0.18456204
166,0.31047824,0.012897259,0.05963019,0.14187317,0.037765168,0.19121571,-0.1941844,-0.026891889,0.11814618,-0.22450148,-0.63771,0.112956114,-0.37324232,0.078051046,-0.02833959,-0.25324047,-0.060368195,-0.2165803,-0.18285805,-0.16844694,-0.16047303,0.108452566,0.21442449,0.116218604,0.18108203,0.32822615,0.014670426,0.014300924,-0.023059921,0.097817436,0.08625075,-0.16910349,0.011792802,0.13034114,-0.25996912,-0.14952731,0.15796123,-0.13718325,0.07853923,-0.14904757,-0.13854468,0.12967299,-0.07645167,0.13054483,0.1785741,0.03887055,-0.10764458,0.08016553,0.4059421,-0.12616093,0.06744808,-0.30390832,0.19808905,0.009841033,0.15484841,0.12431448,-0.50359625,0.24673967,0.23346022,0.036018923,-0.03830839,-0.15548243,-0.14462495,0.23111352
5,0.4053416,0.06591743,0.15723886,-0.25111064,0.068526976,-0.22119857,0.21376225,0.04008724,0.18581927,-0.31097794,-0.44066307,-0.12190249,0.0074774465,0.43644106,-0.10900772,-0.28370953,-0.032987326,-0.22585592,-0.03141164,-0.48509184,0.041793074,-0.06192314,0.2456607,-0.02958682,0.17879793,-0.107201464,0.31328106,0.20855348,0.004579063,-0.00982027,0.13643508,-0.19747922,-0.45861778,-0.23729216,-0.08909912,0.450108,-0.15686879,0.16409065,0.6003719,0.09968963,0.12538487,-0.07405962,-0.18631595,0.08015177,-0.05107945,-0.123717085,-0.17670272,0.030643841,0.16949776,-0.031971406,0.1532061,0.20128505,0.18584295,-0.25140184,-0.29531556,0.38872606,0.25905597,0.24447067,-0.06550324,-0.2064495,-0.12564899,0.117031366,-0.3147644,-0.0020950516
